iter	RMSE
0	504177.4311
1	492277.6946
2	480546.8243
3	470219.1264
4	460041.8193
5	450700.4389
6	442713.9218
7	434769.3331
8	426707.4109
9	418843.2593
10	412618.6677
11	406055.0172
12	399494.0361
13	393661.2166
14	388130.8764
15	383185.6307
16	378325.663
17	373164.8961
18	369202.729
19	364841.9743
20	360331.5509
21	356057.4545
22	352248.9642
23	347982.7434
24	344814.7819
25	341525.8466
26	338204.5935
27	334349.3083
28	332148.8382
29	328795.408
30	326339.4372
31	323832.6394
32	321178.0056
33	316408.6268
34	314109.3515
35	310726.0077
36	307037.3831
37	304510.5655
38	301750.3485
39	298890.5167
40	296770.7685
41	292321.5728
42	289688.7626
43	287889.4945
44	285803.0534
45	284035.5325
46	282349.6207
47	278164.0726
48	276499.8254
49	275087.0269
50	273720.7913
51	272251.0774
52	271051.2217
53	269640.8722
54	268187.7291
55	265766.2939
56	264305.0407
57	262657.2708
58	261308.2108
59	259412.957
60	257998.6319
61	256475.2655
62	254025.0789
63	252600.3572
64	251356.3667
65	250607.4871
66	248568.3229
67	247260.1951
68	245744.2634
69	244581.2347
70	243282.257
71	241315.2386
72	240329.2815
73	239857.1726
74	239054.3812
75	238339.1684
76	237104.2803
77	236501.9316
78	235798.5501
79	234401.1522
80	232908.1861
81	231713.9801
82	231171.9824
83	230328.102
84	229579.615
85	228737.3054
86	228287.3534
87	227126.3079
88	226332.1266
89	225696.3544
90	224783.1921
91	223714.9766
92	222901.9119
93	222600.1284
94	221907.3077
95	221389.2896
96	220789.3907
97	220126.9616
98	219470.0904
99	218549.8212
100	217788.9686
101	216563.3312
102	216047.3908
103	215455.1196
104	215068.6687
105	213881.4623
106	213634.1647
107	213399.1842
108	213020.2743
109	212696.7399
110	212463.6093
111	211952.9093
112	211080.8144
113	210793.3433
114	210416.7122
115	209930.1917
116	209188.1719
117	207694.0491
118	207277.0998
119	207129.6988
120	206721.5081
121	205714.9983
122	205336.442
123	205145.117
124	204930.8247
125	203753.5318
126	203387.4231
127	202836.7639
128	202676.1324
129	202397.1637
130	202164.3447
131	201954.6959
132	201467.0236
133	200804.4192
134	200607.5296
135	200445.7523
136	200303.6769
137	199968.8772
138	199649.5474
139	199377.3457
140	198959.219
141	198747.4889
142	198579.7449
143	198250.7114
144	198078.0692
145	197918.4573
146	197410.7186
147	197401.3633
148	197164.7788
149	196212.6203
150	195679.9555
151	195534.7718
152	195264.4181
153	194897.0134
154	194746.7949
155	194403.2441
156	193663.6056
157	193258.7901
158	193095.1303
159	192328.6253
160	192178.857
161	191670.3455
162	191420.9127
163	191223.1131
164	190864.4445
165	190523.0048
166	190246.5508
167	189903.87
168	189339.9553
169	189036.785
170	188795.5981
171	188480.7212
172	188315.7776
173	187922.222
174	187760.2721
175	187475.8679
176	187318.8389
177	187180.9969
178	186877.4877
179	186716.4444
180	186478.4606
181	186315.129
182	186238.0783
183	185838.0438
184	185707.5836
185	185560.522
186	185359.6981
187	184985.8864
188	184429.9695
189	184195.3268
190	183940.7783
191	183820.7347
192	183586.7119
193	183379.5225
194	183181.1072
195	182455.3378
196	182363.6234
