iter	Passed	Remaining
0	6	6966
1	12	6292
2	18	6144
3	23	5743
4	26	5277
5	29	4884
6	32	4586
7	35	4395
8	38	4242
9	41	4102
10	44	3989
11	47	3890
12	49	3781
13	51	3654
14	54	3559
15	56	3476
16	58	3392
17	60	3313
18	62	3244
19	65	3191
20	67	3134
21	69	3079
22	71	3043
23	73	3006
24	76	2966
25	78	2928
26	80	2915
27	83	2915
28	86	2891
29	88	2861
30	90	2831
31	92	2807
32	94	2781
33	97	2760
34	99	2735
35	101	2713
36	103	2697
37	105	2678
38	107	2660
39	110	2644
40	112	2629
41	115	2623
42	117	2608
43	119	2593
44	121	2578
45	123	2564
46	125	2552
47	128	2542
48	130	2532
49	132	2522
50	134	2512
51	137	2502
52	139	2492
53	141	2483
54	144	2478
55	146	2469
56	149	2467
57	152	2471
58	154	2467
59	157	2462
60	159	2460
61	162	2455
62	164	2451
63	167	2442
64	169	2435
65	171	2431
66	174	2425
67	176	2421
68	179	2417
69	181	2411
70	183	2406
71	186	2401
72	188	2395
73	191	2392
74	193	2388
75	196	2384
76	198	2380
77	201	2376
78	203	2370
79	205	2365
80	208	2362
81	210	2357
82	213	2353
83	215	2349
84	217	2344
85	220	2340
86	222	2335
87	225	2332
88	227	2328
89	229	2323
90	231	2317
91	234	2312
92	236	2308
93	239	2306
94	241	2301
95	243	2296
96	246	2291
97	248	2286
98	250	2282
99	253	2278
100	255	2274
101	257	2270
102	260	2266
103	262	2262
104	264	2258
105	267	2255
106	269	2251
107	272	2249
108	274	2246
109	277	2243
110	279	2240
111	282	2237
112	284	2233
113	287	2234
114	290	2232
115	292	2230
116	295	2227
117	297	2224
118	300	2221
119	302	2220
120	305	2216
121	307	2212
122	309	2209
123	312	2204
124	314	2200
125	316	2197
126	319	2194
127	321	2190
128	323	2185
129	326	2182
130	328	2178
131	330	2175
132	333	2171
133	335	2169
134	338	2166
135	340	2162
136	342	2157
137	344	2153
138	347	2150
139	349	2147
140	352	2145
141	354	2143
142	357	2141
143	359	2138
144	362	2135
145	364	2132
146	366	2129
147	369	2126
148	371	2122
149	374	2119
150	376	2117
151	378	2114
152	381	2110
153	383	2108
154	386	2105
155	388	2102
156	390	2098
157	393	2096
158	396	2096
159	399	2096
160	401	2092
161	404	2090
162	406	2088
163	409	2086
164	412	2085
165	414	2084
166	417	2083
167	420	2081
168	422	2079
169	425	2079
170	429	2081
171	432	2082
172	435	2081
173	437	2078
174	440	2075
175	442	2072
176	445	2069
177	447	2067
178	450	2064
179	452	2061
180	455	2060
181	457	2056
182	460	2054
183	462	2052
184	465	2049
185	467	2045
186	469	2042
187	472	2039
188	474	2035
189	476	2032
190	479	2029
191	482	2028
192	485	2029
193	487	2027
194	490	2024
195	492	2022
196	495	2020
197	499	2021
198	502	2023
199	505	2023
200	508	2021
201	511	2021
202	514	2019
203	517	2017
204	519	2014
205	521	2011
206	525	2011
207	528	2011
208	531	2011
209	534	2010
210	537	2008
211	540	2007
212	543	2007
213	545	2004
214	548	2001
215	550	1999
216	553	1996
217	555	1993
218	558	1992
219	561	1990
220	564	1988
221	566	1986
222	569	1983
223	571	1980
224	574	1979
225	577	1977
226	579	1974
227	582	1972
228	585	1969
229	587	1967
230	590	1965
231	593	1963
232	595	1960
233	598	1957
234	600	1954
235	602	1952
236	605	1950
237	608	1947
238	610	1944
239	613	1941
240	615	1938
241	617	1935
242	620	1933
243	623	1931
244	625	1929
245	628	1926
246	630	1923
247	633	1920
248	635	1917
249	638	1916
250	641	1913
251	643	1911
252	646	1908
253	648	1905
254	651	1903
255	654	1901
256	656	1898
257	659	1896
258	661	1893
259	664	1889
260	666	1887
261	669	1885
262	672	1883
263	674	1881
264	677	1878
265	679	1876
266	682	1873
267	685	1871
268	688	1869
269	690	1867
270	693	1864
271	695	1861
272	698	1860
273	701	1858
274	703	1855
275	706	1853
276	708	1850
277	711	1848
278	714	1846
279	720	1851
280	722	1849
281	725	1846
282	727	1843
283	730	1840
284	732	1838
285	735	1835
286	737	1832
287	740	1829
288	742	1826
289	745	1824
290	747	1822
291	750	1820
292	753	1817
293	755	1815
294	758	1812
295	761	1810
296	764	1809
297	767	1807
298	770	1806
