address,days_on_zillow,zestimate,rent_zestimate,longitude,latitude,area,price,img_src,beds,baths,price_change,tax_assessed_value,lot_area_value,home_type,living_area,detail_url,listing_type,scraped_date,city
"290 Columbus Ave UNIT 3, Boston, MA 02116",12.0,498100.0,2529.0,-71.0738,42.346672,316.0,499000.0,https://photos.zillowstatic.com/fp/67dd259eaa2f7fa8c23aa9ac31cf87ba-p_e.jpg,1.0,1.0,,486200.0,316.0,CONDO,316.0,https://www.zillow.com/homedetails/290-Columbus-Ave-UNIT-3-Boston-MA-02116/71546531_zpid/,sales,2024-10-30 05:10:24+00:00,Boston
"111 Perkins St #30, Jamaica Plain, MA 02130",27.0,,2739.0,-71.116104,42.322548,845.0,319000.0,https://photos.zillowstatic.com/fp/d1d2c5b5f43622919efbe2bc55a2dbb3-p_e.jpg,1.0,1.0,-10000.0,,,CONDO,845.0,https://www.zillow.com/homedetails/111-Perkins-St-30-Jamaica-Plain-MA-02130/2063630529_zpid/,sales,2024-10-30 05:10:24+00:00,Massachusetts
"9 Linley Ter #9, Boston, MA 02127",6.0,,,-71.03939,42.335968,1203.0,875000.0,https://photos.zillowstatic.com/fp/9bca1307248729dc7fde058fffeb170c-p_e.jpg,3.0,2.0,,,1306.8,TOWNHOUSE,1203.0,https://www.zillow.com/homedetails/9-Linley-Ter-9-Boston-MA-02127/442029699_zpid/,sales,2024-10-30 05:10:24+00:00,Boston
"744 Washington St #2, Dorchester Center, MA 02124",7.0,,,-71.06313,42.350666,1049.0,569000.0,https://photos.zillowstatic.com/fp/4ba2205e8e6b2c79c629832b3b9fb1ad-p_e.jpg,3.0,1.0,,,,CONDO,1049.0,https://www.zillow.com/homedetails/744-Washington-St-2-Dorchester-Center-MA-02124/442008101_zpid/,sales,2024-10-30 05:10:24+00:00,Boston
"31 Homestead St #2, Boston, MA 02121",47.0,,2952.0,-71.0931,42.313126,1326.0,303525.0,https://photos.zillowstatic.com/fp/c506f9f2089cb6c9fe843971e4e5b64a-p_e.jpg,2.0,2.0,,280700.0,1326.0,CONDO,1326.0,https://www.zillow.com/homedetails/31-Homestead-St-2-Boston-MA-02121/59101642_zpid/,sales,2024-10-30 05:10:24+00:00,Boston
"1 E Pier Dr #C-16, Boston, MA 02128",7.0,,,-71.04991,42.375786,768.0,374900.0,https://photos.zillowstatic.com/fp/25b75b7ce2d0f0b576ccfa6705803aa7-p_e.jpg,1.0,1.0,,,,CONDO,768.0,https://www.zillow.com/homedetails/1-E-Pier-Dr-C-16-Boston-MA-02128/442016977_zpid/,sales,2024-10-30 05:10:24+00:00,Boston
"16 Mosgrove Ave, Roslindale, MA 02131",16.0,814600.0,3861.0,-71.12314,42.291996,1494.0,799900.0,https://photos.zillowstatic.com/fp/52e9f239fa4b7c449dc8271d04ac69cb-p_e.jpg,4.0,2.0,,517200.0,5530.0,SINGLE_FAMILY,1494.0,https://www.zillow.com/homedetails/16-Mosgrove-Ave-Roslindale-MA-02131/59144887_zpid/,sales,2024-10-30 05:10:24+00:00,Massachusetts
"273 Border St #2B, Boston, MA 02128",4.0,,,-71.039665,42.37724,1028.0,625000.0,https://photos.zillowstatic.com/fp/07cf7b2599ade8e72d4dad72610d140b-p_e.jpg,2.0,2.0,,,,CONDO,1028.0,https://www.zillow.com/homedetails/273-Border-St-2B-Boston-MA-02128/2055778232_zpid/,sales,2024-10-30 05:10:24+00:00,Boston
"44 Speedwell St, Dorchester, MA 02122",1.0,,4163.0,-71.06639,42.304577,3816.0,1099000.0,https://photos.zillowstatic.com/fp/2205edfbd17f003af8191180caee5da4-p_e.jpg,9.0,3.0,,891300.0,3725.0,MULTI_FAMILY,3816.0,https://www.zillow.com/homedetails/44-Speedwell-St-Dorchester-MA-02122/59107868_zpid/,sales,2024-10-30 05:10:24+00:00,Boston
"14 Clarendon St APT 402, Boston, MA 02116",21.0,1431000.0,5028.0,-71.07243,42.344597,1074.0,1449000.0,https://photos.zillowstatic.com/fp/f6ce72f9ede1b3a17859ed1b0e5f4ec2-p_e.jpg,3.0,2.0,,1163800.0,1074.0,CONDO,1074.0,https://www.zillow.com/homedetails/14-Clarendon-St-APT-402-Boston-MA-02116/59165079_zpid/,sales,2024-10-30 05:10:24+00:00,Boston
